country,countryLabel,capital,capitalLabel,flag,popolation,surface,unicode,map,linkcount
http://www.wikidata.org/entity/Q114,Kenya,http://www.wikidata.org/entity/Q3870,Nairobi,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kenya.svg,48468138,581309,🇰🇪,http://commons.wikimedia.org/wiki/Special:FilePath/LocationKenya.svg,281
http://www.wikidata.org/entity/Q1049,Sudan,http://www.wikidata.org/entity/Q1963,Khartoum,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sudan.svg,40533330,1886068,🇸🇩,http://commons.wikimedia.org/wiki/Special:FilePath/LocationSudan.svg,280
http://www.wikidata.org/entity/Q1049,Sudan,http://www.wikidata.org/entity/Q1963,Khartoum,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sudan.svg,40533330,1886068,🇸🇩,http://commons.wikimedia.org/wiki/Special:FilePath/Sudan%20%28orthographic%20projection%29.svg,280
http://www.wikidata.org/entity/Q347,Liechtenstein,http://www.wikidata.org/entity/Q1844,Vaduz,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Liechtenstein.svg,37922,160,🇱🇮,http://commons.wikimedia.org/wiki/Special:FilePath/Liechtenstein%20in%20Europe%20%28-rivers%20-mini%20map%29.svg,279
http://www.wikidata.org/entity/Q347,Liechtenstein,http://www.wikidata.org/entity/Q1844,Vaduz,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Liechtenstein.svg,37922,160,🇱🇮,http://commons.wikimedia.org/wiki/Special:FilePath/Liechtenstein%20on%20the%20globe%20%28Europe%20centered%29.svg,279
http://www.wikidata.org/entity/Q424,Cambodia,http://www.wikidata.org/entity/Q1850,Phnom Penh,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cambodia.svg,16005373,181035,🇰🇭,http://commons.wikimedia.org/wiki/Special:FilePath/Cambodia%20on%20the%20globe%20%28Asia%20centered%29.svg,279
http://www.wikidata.org/entity/Q1045,Somalia,http://www.wikidata.org/entity/Q2449,Mogadishu,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Somalia.svg,11031386,637657,🇸🇴,http://commons.wikimedia.org/wiki/Special:FilePath/Somalia%20%28orthographic%20projection%29.svg,276
http://www.wikidata.org/entity/Q1045,Somalia,http://www.wikidata.org/entity/Q2449,Mogadishu,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Somalia.svg,11031386,637657,🇸🇴,http://commons.wikimedia.org/wiki/Special:FilePath/LocationSomalia.svg,276
http://www.wikidata.org/entity/Q238,San Marino,http://www.wikidata.org/entity/Q1848,San Marino,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20San%20Marino.svg,33400,61.2,🇸🇲,http://commons.wikimedia.org/wiki/Special:FilePath/Location%20San%20Marino%20Europe.png,275
http://www.wikidata.org/entity/Q238,San Marino,http://www.wikidata.org/entity/Q1848,San Marino,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20San%20Marino.svg,33400,61.2,🇸🇲,http://commons.wikimedia.org/wiki/Special:FilePath/LocationSanMarino.svg,275
